site,date,year,day_of_year,image_no,,prop_blk_pixels,prop_wht_pixels
Ag-nat 7,8/20/2024,2024,233,4,,0.134822386,0.865177614
Ag-nat 7,8/20/2024,2024,233,5,,0.19772799,0.80227201
Ag-nat 7,8/20/2024,2024,233,9,,0.435115912,0.564884088
Ag-nat 7,9/16/2024,2024,260,2,,0.249434999,0.750565001
Ag-nat 7,9/16/2024,2024,260,3,,0.242233002,0.757766998
Ag-nat 7,9/16/2024,2024,260,4,,0.335007149,0.664992851
Ag-nat 7,9/16/2024,2024,260,5,,0.465371323,0.534628677
Ag-nat 7,9/16/2024,2024,260,6,,0.372411981,0.627588019
Ag-nat 7,9/16/2024,2024,260,7,,0.458678416,0.541321584
Ag-nat 7,9/16/2024,2024,260,8,,0.446047504,0.553952496
Ag-nat 7,9/16/2024,2024,260,9,,0.404131688,0.595868312
Ag-nat 8,6/24/2024,2024,176,1,,0.245898764,0.754101236
Ag-nat 8,6/24/2024,2024,176,11,,0.31037461,0.68962539
Ag-nat 8,6/24/2024,2024,176,12,,0.31695379,0.68304621
Ag-nat 8,6/24/2024,2024,176,14,,0.305207414,0.694792586
Ag-nat 8,6/24/2024,2024,176,17,,0.117634213,0.882365787
Ag-nat 8,6/24/2024,2024,176,19,,0.311150514,0.688849486
Ag-nat 8,6/24/2024,2024,176,2,,0.21329783,0.78670217
Ag-nat 8,6/24/2024,2024,176,3,,0.390841032,0.609158968
Ag-nat 8,6/24/2024,2024,176,4,,0.852032865,0.147967135
Ag-nat 8,6/24/2024,2024,176,7,,0.226027292,0.773972708
Ag-nat 8,6/24/2024,2024,176,8,,0.936198333,0.063801667
Ag-nat 8,6/24/2024,2024,176,9,,0.721619112,0.278380888
Ag-nat 8,7/29/2024,2024,211,10,,0.593279902,0.406720098
Ag-nat 8,7/29/2024,2024,211,2,,0.357635243,0.642364757
Ag-nat 8,7/29/2024,2024,211,3,,0.419648028,0.580351972
Ag-nat 8,7/29/2024,2024,211,4,,0.311917833,0.688082167
Ag-nat 8,7/29/2024,2024,211,5,,0.396815709,0.603184291
Ag-nat 8,7/29/2024,2024,211,6,,0.597463067,0.402536933
Ag-nat 8,7/29/2024,2024,211,7,,0.665351666,0.334648334
Ag-nat 8,7/29/2024,2024,211,8,,0.359824426,0.640175574
Ag-nat 8,9/17/2024,2024,261,1,,0.558125852,0.441874148
Ag-nat 8,9/17/2024,2024,261,10,,0.634272687,0.365727313
Ag-nat 8,9/17/2024,2024,261,2,,0.585384012,0.414615988
Ag-nat 8,9/17/2024,2024,261,3,,0.396151048,0.603848952
Ag-nat 8,9/17/2024,2024,261,4,,0.650747763,0.349252237
Ag-nat 8,9/17/2024,2024,261,8,,0.506498296,0.493501704
Ag-nat 8,9/17/2024,2024,261,9,,0.783063938,0.216936062
Ag-nat 9,5/28/2024,2024,149,10,,0.441978828,0.558021172
Ag-nat 9,5/28/2024,2024,149,2,,0.480685466,0.519314534
Ag-nat 9,6/25/2024,2024,177,3,,0.14424904,0.85575096
Ag-nat 9,6/25/2024,2024,177,4,,0.235330287,0.764669713
Ag-nat 9,6/25/2024,2024,177,8,,0.258920246,0.741079754
Ag-nat 9,6/25/2024,2024,177,9,,0.136461524,0.863538476
Ag-nat 9,7/30/2024,2024,212,1,,0.276194663,0.723805337
Ag-nat 9,7/30/2024,2024,212,10,,0.312158939,0.687841061
Ag-nat 9,7/30/2024,2024,212,2,,0.184372974,0.815627026
Ag-nat 9,7/30/2024,2024,212,3,,0.174751282,0.825248718
Ag-nat 9,7/30/2024,2024,212,4,,0.368389684,0.631610316
Ag-nat 9,7/30/2024,2024,212,5,,0.38420422,0.61579578
Ag-nat 9,7/30/2024,2024,212,8,,0.264229197,0.735770803
Ag-nat 9,7/30/2024,2024,212,9,,0.209083529,0.790916471
Ag-nat 9,8/23/2024,2024,236,10,,0.341289842,0.658710158
Ag-nat 9,8/23/2024,2024,236,2,,0.260631436,0.739368564
Ag-nat 9,8/23/2024,2024,236,3,,0.190826149,0.809173851
Ag-nat 9,8/23/2024,2024,236,4,,0.203761337,0.796238663
Ag-nat 9,8/23/2024,2024,236,5,,0.104010016,0.895989984
Ag-nat 9,8/23/2024,2024,236,7,,0.165174515,0.834825485
Ag-nat 9,8/23/2024,2024,236,8,,0.21474276,0.78525724
Ag-nat 9,8/23/2024,2024,236,9,,0.346719149,0.653280851
Ag-nat 9,9/13/2024,2024,250,1,,0.135977303,0.864022697
Ag-nat 9,9/13/2024,2024,250,10,,0.867318537,0.132681463
Ag-nat 9,9/13/2024,2024,250,2,,0.388984167,0.611015833
Ag-nat 9,9/13/2024,2024,250,3,,0.234975093,0.765024907
Ag-nat 9,9/13/2024,2024,250,4,,0.227658722,0.772341278
Ag-nat 9,9/13/2024,2024,250,6,,0.593743085,0.406256915
Ag-nat 9,9/13/2024,2024,250,7,,0.505212919,0.494787081
Ag-nat 9,9/13/2024,2024,250,9,,0.589027092,0.410972908
Ag 3,5/31/2024,2024,152,10,,0.393259669,0.606740331
Ag 3,5/31/2024,2024,152,2,,0.155438281,0.844561719
Ag 3,5/31/2024,2024,152,3,,0.385760441,0.614239559
Ag 3,5/31/2024,2024,152,7,,0.169664761,0.830335239
Ag 3,5/31/2024,2024,152,9,,0.298605454,0.701394546
Ag 3,9/17/2024,2024,261,11,,0.159293796,0.840706204
Ag 3,9/17/2024,2024,261,2,,0.265509866,0.734490134
Ag 3,9/17/2024,2024,261,3,,0.309017102,0.690982898
Ag 3,9/17/2024,2024,261,4,,0.255433819,0.744566181
Ag 3,9/17/2024,2024,261,5,,0.15139928,0.84860072
Ag 3,9/17/2024,2024,261,6,,0.190963083,0.809036917
Ag 3,9/17/2024,2024,261,8,,0.189633565,0.810366435
Ag 3,9/17/2024,2024,261,9,,0.265386076,0.734613924
Ag 5,5/31/2024,2024,152,1,,0.452819884,0.547180116
Ag 5,5/31/2024,2024,152,4,,0.243325771,0.756674229
Ag 5,6/24/2024,2024,176,4,,0.120753737,0.879246263
Ag 5,7/29/2024,2024,211,5,,0.373877453,0.626122547
Ag 5,7/29/2024,2024,211,8,,0.348278983,0.651721017
Ag 5,9/17/2024,2024,261,3,,0.232910485,0.767089515
Ag 5,9/17/2024,2024,261,4,,0.282551317,0.717448683
Ag 5,9/17/2024,2024,261,8,,0.417097284,0.582902716
Ag 6,5/31/2024,2024,152,2,,0.379556547,0.620443453
Ag 6,8/23/2024,2024,236,1,,0.385153147,0.614846853
Ag 6,8/23/2024,2024,236,4,,0.916484611,0.083515389
Ag 6,8/23/2024,2024,236,5,,0.859410877,0.140589123
Ag 6,9/16/2024,2024,260,3,,0.870008569,0.129991431
Ag 6,9/16/2024,2024,260,4,,0.918487618,0.081512382
Half 10,5/31/2024,2024,152,10,,0.236376412,0.763623588
Nat QC 1 old,8/21/2024,2024,234,9,,0.074100275,0.925899725
Nat QC 1 old,9/15/2024,2024,259,3,,0.606007923,0.393992077
Nat QC 3,7/31/2024,2024,213,1,,0.172648223,0.827351777
Nat QC 3,7/31/2024,2024,213,10,,0.047827728,0.952172272
Nat QC 3,7/31/2024,2024,213,6,,0.179651096,0.820348904
Nat QC 3,9/15/2024,2024,259,6,,0.302919211,0.697080789
Nat QC 3,9/15/2024,2024,259,9,,0.388047796,0.611952204
Nat QC 4,6/26/2024,2024,178,3,,0.049950669,0.950049331
Nat QC 4,6/26/2024,2024,178,4,,0.340173766,0.659826234
Nat QC 4,6/26/2024,2024,178,7,,0.785996767,0.214003233
Nat QC 4,9/15/2024,2024,259,7,,0.94094837,0.05905163
Nat QC 6,6/26/2024,2024,178,5,,0.320102378,0.679897622
Nat QC 6,6/26/2024,2024,178,8,,0.474146741,0.525853259
Nat QC 6,6/26/2024,2024,178,9,,0.754543487,0.245456513
Nat QC 7,6/26/2024,2024,178,1,,0.018887403,0.981112597
Nat QC 7,6/26/2024,2024,178,10,,0.060858102,0.939141898
Half 10,8/23/2024,2024,236,10,,0.135809176,0.864190824
Half 10,8/23/2024,2024,236,6,,0.313494397,0.686505603
Half 10,8/23/2024,2024,236,8,,0.185022529,0.814977471
Half 10,8/23/2024,2024,236,9,,0.25652223,0.74347777
Half 10,9/16/2024,2024,260,3,,0.287967872,0.712032128
Half 10,9/16/2024,2024,260,4,,0.259626989,0.740373011
Half 10,9/16/2024,2024,260,5,,0.566195754,0.433804246
Half 10,9/16/2024,2024,260,6,,0.311498595,0.688501405
Half 10,9/16/2024,2024,260,7,,0.288345324,0.711654676
Half 10,9/16/2024,2024,260,8,,0.356962396,0.643037604
Half 10,9/16/2024,2024,260,9,,0.310853944,0.689146056
Half 2,5/31/2024,2024,152,1,,0.461067327,0.538932673
Half 2,5/31/2024,2024,152,11,,0.387636601,0.612363399
Half 2,5/31/2024,2024,152,3,,0.181451787,0.818548213
Half 2,9/17/2024,2024,261,1,,0.798848261,0.201151739
Half 2,9/17/2024,2024,261,2,,0.773450092,0.226549908
Half 2,9/17/2024,2024,261,3,,0.541287645,0.458712355
Half 2,9/17/2024,2024,261,5,,0.768650134,0.231349866
Half 2,9/17/2024,2024,261,6,,0.883011832,0.116988168
Half 5,5/31/2024,2024,152,7,,0.24243086,0.75756914
Half 5,5/31/2024,2024,152,9,,0.246950781,0.753049219
Half 5,6/24/2024,2024,176,10,,0.034391584,0.965608416
Half 5,6/24/2024,2024,176,2,,0.245629525,0.754370475
Half 5,6/24/2024,2024,176,3,,0.259228566,0.740771434
Half 5,6/24/2024,2024,176,5,,0.230069613,0.769930387
Half 5,6/24/2024,2024,176,6,,0.219018822,0.780981178
Half 5,6/24/2024,2024,176,7,,0.345922055,0.654077945
Half 5,6/24/2024,2024,176,8,,0.308321832,0.691678168
Half 5,6/24/2024,2024,176,9,,0.421228941,0.578771059
Half 5,9/17/2024,2024,261,1,,0.300352769,0.699647231
Half 5,9/17/2024,2024,261,10,,0.15598442,0.84401558
Half 5,9/17/2024,2024,261,11,,0.32483203,0.67516797
Half 5,9/17/2024,2024,261,2,,0.121647268,0.878352732
Half 5,9/17/2024,2024,261,3,,0.238504584,0.761495416
Half 5,9/17/2024,2024,261,4,,0.349595553,0.650404447
Half 5,9/17/2024,2024,261,5,,0.28008807,0.71991193
Half 5,9/17/2024,2024,261,6,,0.167350946,0.832649054
Half 5,9/17/2024,2024,261,7,,0.145351013,0.854648987
Half 5,9/17/2024,2024,261,8,,0.150425046,0.849574954
Half 6,5/30/2024,2024,169,3,,0.3457514,0.6542486
Half 6,5/30/2024,2024,169,4,,0.620919483,0.379080517
Half 6,5/30/2024,2024,169,6,,0.58287524,0.41712476
Half 6,5/30/2024,2024,169,7,,0.650678381,0.349321619
Half 6,5/30/2024,2024,169,8,,0.769461623,0.230538377
Half 6,6/28/2024,2024,201,7,,0.333595372,0.666404628
Half 6,6/28/2024,2024,201,9,,0.388462653,0.611537347
Half 6,8/1/2024,2024,214,2,,0.76464667,0.23535333
Nat QC 7,6/26/2024,2024,178,4,,0.122508603,0.877491397
Nat QC 7,6/26/2024,2024,178,5,,0.769766604,0.230233396
Nat QC 7,6/26/2024,2024,178,6,,0.373444951,0.626555049
Nat QC 7,6/26/2024,2024,178,7,,0.23311785,0.76688215
Nat QC 7,6/26/2024,2024,178,8,,0.517910994,0.482089006
Nat QC 7,7/31/2024,2024,213,1,,0.150814072,0.849185928
Nat QC 7,7/31/2024,2024,213,2,,0.680135859,0.319864141
Nat QC 7,7/31/2024,2024,213,3,,0.340175927,0.659824073
Nat QC 7,7/31/2024,2024,213,4,,0.323454251,0.676545749
Nat QC 7,7/31/2024,2024,213,6,,0.891199246,0.108800754
Nat QC 7,7/31/2024,2024,213,7,,0.529533466,0.470466534
Half 6,8/1/2024,2024,214,3,,0.333829475,0.666170525
Half 6,8/1/2024,2024,214,6,,0.586121653,0.413878347
Half 6,8/22/2024,2024,235,1,,0.092256622,0.907743378
Half 6,8/22/2024,2024,235,10,,0.822538283,0.177461717
Half 6,8/22/2024,2024,235,2,,0.145626853,0.854373147
Half 6,8/22/2024,2024,235,3,,0.359275316,0.640724684
Half 6,9/12/2024,2024,256,1,,0.212814301,0.787185699
Half 6,9/12/2024,2024,256,10,,0.421544509,0.578455491
Half 6,9/12/2024,2024,256,2,,0.843539449,0.156460551
Half 6,9/12/2024,2024,256,3,,0.420914179,0.579085821
Half 6,9/12/2024,2024,256,4,,0.72944181,0.27055819
Half 6,9/12/2024,2024,256,5,,0.612349667,0.387650333
Half 6,9/12/2024,2024,256,6,,0.633995483,0.366004517
Half 6,9/12/2024,2024,256,7,,0.363590511,0.636409489
Half 6,9/12/2024,2024,256,8,,0.516716967,0.483283033
Half 6,9/12/2024,2024,256,9,,0.539707016,0.460292984
Half 7,7/30/2024,2024,212,1,,0.16242127,0.83757873
Half 7,7/30/2024,2024,212,10,,0.65433395,0.34566605
Half 7,7/30/2024,2024,212,2,,0.463995899,0.536004101
Half 7,7/30/2024,2024,212,3,,0.154296283,0.845703717
Half 7,7/30/2024,2024,212,4,,0.202153439,0.797846561
Half 7,7/30/2024,2024,212,5,,0.196455168,0.803544832
Half 7,7/30/2024,2024,212,6,,0.611861372,0.388138628
Half 7,7/30/2024,2024,212,8,,0.175971331,0.824028669
Half 7,8/23/2024,2024,236,3,,0.117428006,0.882571994
Half 7,8/23/2024,2024,236,6,,0.155012344,0.844987656
Half 7,8/23/2024,2024,236,8,,0.283737231,0.716262769
Half 7,8/23/2024,2024,236,9,,0.313404884,0.686595116
Half 7,9/13/2024,2024,250,1,,0.305705961,0.694294039
Half 7,9/13/2024,2024,250,10,,0.320804828,0.679195172
Half 7,9/13/2024,2024,250,3,,0.315079485,0.684920515
Half 7,9/13/2024,2024,250,4,,0.114727379,0.885272621
Half 7,9/13/2024,2024,250,6,,0.446456541,0.553543459
Half 7,9/13/2024,2024,250,9,,0.487887202,0.512112798
Half 9,7/30/2024,2024,212,1,,0.513596122,0.486403878
Half 9,7/30/2024,2024,212,2,,0.758731816,0.241268184
Half 9,7/30/2024,2024,212,3,,0.809450662,0.190549338
Half 9,7/30/2024,2024,212,4,,0.807506509,0.192493491
Half 9,7/30/2024,2024,212,5,,0.404440673,0.595559327
Half 9,7/30/2024,2024,212,6,,0.626840569,0.373159431
Half 9,7/30/2024,2024,212,7,,0.613068473,0.386931527
Half 9,7/30/2024,2024,212,8,,0.485975615,0.514024385
Half 9,8/23/2024,2024,236,2,,0.944407628,0.055592372
Half 9,8/23/2024,2024,236,4,,0.533458654,0.466541346
Half 9,8/23/2024,2024,236,5,,0.408659151,0.591340849
Half 9,8/23/2024,2024,236,6,,0.298985784,0.701014216
Half 9,8/23/2024,2024,236,7,,0.70549028,0.29450972
Half 9,8/23/2024,2024,236,8,,0.427383833,0.572616167
Half 9,9/13/2024,2024,250,2,,0.136352793,0.863647207
Half 9,9/13/2024,2024,250,3,,0.181490292,0.818509708
Half 9,9/13/2024,2024,250,6,,0.624829519,0.375170481
Half 10,9/16/2024,2024,260,2,,0.418844079,0.581155921
Half 9,9/13/2024,2024,250,8,,0.434327853,0.565672147
Nat-ag 1,5/30/2024,2024,151,10,,0.686454415,0.313545585
Nat-ag 1,5/30/2024,2024,151,2,,0.783533747,0.216466253
Nat-ag 1,5/30/2024,2024,151,3,,0.910811677,0.089188323
Nat-ag 1,5/30/2024,2024,151,9,,0.235842254,0.764157746
Nat-ag 1,8/1/2024,2024,214,1,,0.572108647,0.427891353
Nat-ag 1,8/1/2024,2024,214,10,,0.925237026,0.074762974
Nat-ag 1,8/1/2024,2024,214,2,,0.968737788,0.031262212
Nat-ag 1,8/1/2024,2024,214,3,,0.68754777,0.31245223
Nat-ag 1,8/1/2024,2024,214,4,,0.879379346,0.120620654
Nat-ag 1,8/1/2024,2024,214,5,,0.969846014,0.030153986
Nat-ag 1,8/1/2024,2024,214,6,,0.915561187,0.084438813
Nat-ag 1,8/1/2024,2024,214,7,,0.805503502,0.194496498
Nat-ag 1,8/1/2024,2024,214,8,,0.461768657,0.538231343
Nat-ag 1,8/1/2024,2024,214,9,,0.378774128,0.621225872
Nat-ag 2,6/28/2024,2024,180,3,,0.860880057,0.139119943
Nat-ag 2,8/1/2024,2024,214,5,,0.824427897,0.175572103
Nat-ag 2,8/1/2024,2024,214,8,,0.997363721,0.002636279
Nat-ag 2,9/12/2024,2024,256,1,,0.384715663,0.615284337
Nat-ag 3,5/30/2024,2024,151,8,,0.468219488,0.531780512
Nat-ag 3,6/28/2024,2024,180,1,,0.16603111,0.83396889
Nat-ag 3,6/28/2024,2024,180,2,,0.234290642,0.765709358
Nat-ag 3,6/28/2024,2024,180,3,,0.406155663,0.593844337
Nat-ag 3,6/28/2024,2024,180,8,,0.377019295,0.622980705
Nat-ag 3,8/1/2024,2024,214,1,,0.976933441,0.023066559
Nat-ag 3,8/1/2024,2024,214,10,,0.921294574,0.078705426
Nat-ag 3,8/1/2024,2024,214,2,,0.975399503,0.024600497
Nat-ag 3,8/1/2024,2024,214,3,,0.988673692,0.011326308
Nat-ag 3,8/1/2024,2024,214,4,,0.990500136,0.009499864
Nat-ag 3,8/1/2024,2024,214,5,,0.992219465,0.007780535
Nat-ag 3,8/1/2024,2024,214,6,,0.984385373,0.015614627
Nat-ag 3,8/1/2024,2024,214,7,,0.976046507,0.023953493
Nat-ag 3,8/1/2024,2024,214,8,,0.876723842,0.123276158
Nat-ag 3,8/1/2024,2024,214,9,,0.970558935,0.029441065
Nat-ag 4,7/30/2024,2024,212,1,,0.609260798,0.390739202
Nat-ag 4,7/30/2024,2024,212,10,,0.183157045,0.816842955
Nat-ag 4,7/30/2024,2024,212,5,,0.286249131,0.713750869
Nat-ag 4,7/30/2024,2024,212,7,,0.122978552,0.877021448
Nat-ag 4,8/23/2024,2024,236,10,,0.265904386,0.734095614
Nat-ag 4,9/13/2024,2024,250,3,,0.191791359,0.808208641
Nat-ag 4,9/13/2024,2024,250,5,,0.160490696,0.839509304
Nat-ag 5 new,6/28/2024,2024,180,9,,0.681081018,0.318918982
Nat-ag 5 new,9/12/2024,2024,256,4,,0.753907335,0.246092665
Nat-ag 5 old,9/12/2024,2024,256,1,,0.792228725,0.207771275
Nat-ag 5 old,9/12/2024,2024,256,10,,0.671055626,0.328944374
Nat-ag 5 old,9/12/2024,2024,256,2,,0.504223971,0.495776029
Nat-ag 5 old,9/12/2024,2024,256,3,,0.621948602,0.378051398
Nat-ag 5 old,9/12/2024,2024,256,5,,0.434864015,0.565135985
Nat-ag 5 old,9/12/2024,2024,256,8,,0.506318398,0.493681602
Nat-ag 5 old,9/12/2024,2024,256,9,,0.82411185,0.17588815
Nat-ag 6,5/30/2024,2024,151,3,,0.701670266,0.298329734
Nat-ag 6,5/30/2024,2024,151,7,,0.264059556,0.735940444
Nat QC 7,9/15/2024,2024,259,5,,0.573128003,0.426871997
Nat QC 7,9/15/2024,2024,259,9,,0.698935287,0.301064713
Nat QC 9,7/31/2024,2024,213,10,,0.919883053,0.080116947
Nat QC 9,7/31/2024,2024,213,3,,0.508981162,0.491018838
Nat QC 9,7/31/2024,2024,213,4,,0.54709048,0.45290952
Nat QC 9,7/31/2024,2024,213,5,,0.224170429,0.775829571
Nat QC 9,7/31/2024,2024,213,6,,0.377446964,0.622553036
Nat QC 9,7/31/2024,2024,213,7,,0.552158618,0.447841382
Nat QC 9,7/31/2024,2024,213,8,,0.464487921,0.535512079
Nat QC 9,7/31/2024,2024,213,9,,0.981765769,0.018234231
Nat QC 9,9/15/2024,2024,259,1,,0.509563231,0.490436769
Nat QC 9,9/15/2024,2024,259,10,,0.280871812,0.719128188
Nat-ag 6,5/30/2024,2024,151,9,,0.328765953,0.671234047
Nat-ag 6,6/28/2024,2024,180,9,,0.1214287,0.8785713
Nat-ag 6,8/1/2024,2024,214,3,,0.869386676,0.130613324
Nat-ag 6,8/1/2024,2024,214,6,,0.738514393,0.261485607
Nat-ag 6,8/1/2024,2024,214,8,,0.424336163,0.575663837
Nat-ag 7 new,5/30/2024,2024,151,10,,0.468807319,0.531192681
Nat-ag 7 new,5/30/2024,2024,151,3,,0.364860911,0.635139089
Nat-ag 7 new,5/30/2024,2024,151,4,,0.618910891,0.381089109
Nat-ag 7 new,5/30/2024,2024,151,8,,0.359421137,0.640578863
Nat-ag 7 new,5/30/2024,2024,151,9,,0.151587825,0.848412175
Nat-ag 7 new,6/28/2024,2024,180,1,,0.057987001,0.942012999
Nat-ag 7 new,6/28/2024,2024,180,6,,0.272691121,0.727308879
Nat-ag 7 new,6/28/2024,2024,180,7,,0.08365409,0.91634591
Nat-ag 7 new,6/28/2024,2024,180,8,,0.434815806,0.565184194
Nat-ag 7 new,6/28/2024,2024,180,9,,0.083370711,0.916629289
Nat-ag 7 new,8/1/2024,2024,214,1,,0.381803554,0.618196446
Nat-ag 7 new,8/1/2024,2024,214,11,,0.358201029,0.641798971
Nat-ag 7 new,8/1/2024,2024,214,6,,0.417235199,0.582764801
Nat-ag 7 new,8/1/2024,2024,214,7,,0.230977122,0.769022878
Nat-ag 7 new,8/22/2024,2024,235,3,,0.311744213,0.688255787
Nat-ag 7 new,8/22/2024,2024,235,4,,0.382707163,0.617292837
Nat-ag 7 new,8/22/2024,2024,235,5,,0.523181717,0.476818283
Nat-ag 7 new,8/22/2024,2024,235,6,,0.826221972,0.173778028
Nat-ag 7 new,8/22/2024,2024,235,7,,0.407589572,0.592410428
Nat-ag 7 new,8/22/2024,2024,235,8,,0.778328915,0.221671085
Nat-ag 7 new,9/12/2024,2024,256,1,,0.392774383,0.607225617
Nat-ag 7 new,9/12/2024,2024,256,10,,0.527478079,0.472521921
Nat-ag 7 new,9/12/2024,2024,256,2,,0.277653857,0.722346143
Nat-ag 7 new,9/12/2024,2024,256,3,,0.562265662,0.437734338
Nat-ag 7 new,9/12/2024,2024,256,4,,0.48676799,0.51323201
Nat-ag 7 new,9/12/2024,2024,256,5,,0.571806724,0.428193276
Nat-ag 7 new,9/12/2024,2024,256,6,,0.767842261,0.232157739
Nat-ag 7 new,9/12/2024,2024,256,7,,0.373471947,0.626528053
Nat-ag 7 new,9/12/2024,2024,256,8,,0.868934675,0.131065325
Nat-ag 7 new,9/12/2024,2024,256,9,,0.8154691,0.1845309
Nat-ag 7 old,5/30/2024,2024,151,4,,0.31096022,0.68903978
Nat-ag 7 old,5/30/2024,2024,151,7,,0.180890921,0.819109079
Nat-ag 7 old,5/30/2024,2024,151,8,,0.204660963,0.795339037
Nat-ag 7 old,6/28/2024,2024,180,3,,0.498711343,0.501288657
Nat-ag 7 old,8/22/2024,2024,235,9,,0.705773565,0.294226435
Nat-ag 8,5/31/2024,2024,152,7,,0.717911622,0.282088378
Nat-ag 8,5/31/2024,2024,152,9,,0.361002403,0.638997597
Nat-ag 8,6/24/2024,2024,176,4,,0.657111649,0.342888351
Nat-ag 8,7/29/2024,2024,211,1,,0.624462072,0.375537928
Nat-ag 8,7/29/2024,2024,211,3,,0.327611913,0.672388087
Nat-ag 8,7/29/2024,2024,211,5,,0.364217113,0.635782887
Nat-ag 8,7/29/2024,2024,211,6,,0.110919312,0.889080688
Nat-ag 8,7/29/2024,2024,211,7,,0.41269263,0.58730737
Nat-ag 8,9/17/2024,2024,261,5,,0.627994702,0.372005298
Nat-ag 8,9/17/2024,2024,261,6,,0.090823913,0.909176087
Nat-ag 9,6/25/2024,2024,177,2,,0.158479841,0.841520159
Nat-ag 9,6/25/2024,2024,177,4,,0.170743093,0.829256907
Nat-ag 9,6/25/2024,2024,177,6,,0.678857192,0.321142808
Nat-ag 9,6/25/2024,2024,177,7,,0.564088384,0.435911616
Nat-ag 9,6/25/2024,2024,177,8,,0.594471384,0.405528616
Nat-ag 9,6/25/2024,2024,177,9,,0.623360507,0.376639493
Nat-ag 9,8/20/2024,2024,233,1,,0.393939109,0.606060891
Nat-ag 9,8/20/2024,2024,233,2,,0.227712672,0.772287328
Nat-ag 9,8/20/2024,2024,233,3,,0.265076895,0.734923105
Nat-ag 9,8/20/2024,2024,233,4,,0.592922068,0.407077932
Nat-ag 9,8/20/2024,2024,233,6,,0.340319924,0.659680076
Nat-ag 9,9/16/2024,2024,260,2,,0.452360213,0.547639787
Nat-ag 9,9/16/2024,2024,260,5,,0.142312573,0.857687427
Nat-ag 9,9/16/2024,2024,260,9,,0.437913844,0.562086156
