date,year,day_of_year,temp_c,site,under_board,board_number,board_id,survey_start,survey_start_t,survey_end,survey_end_t,t_lapse_mins,t_midpoint,handling_start,handling_start_t,handling_end,handling_end_t,spp,sex_age_est,sex,probed,age_class,svl_cm,id,cluster,id_cluster,status
7/10/2023,2023,191,25,Nat-ag 2,Y,12,OS12,12:07,12.12,12:31,12.52,24,12.32,12:18,12.3,12:24,12.4,garter,M,M,Y,A,32,3,OS,OS1,unique
7/10/2023,2023,191,25,Nat-ag 2,Y,12,OS12,12:07,12.12,12:31,12.52,24,12.32,12:26,12.43,12:29,12.48,redbelly,F,F,N,A,22.25,5,OS,OS5,unique
7/10/2023,2023,191,25,Nat-ag 2,Y,16,16,12:07,12.12,12:31,12.52,24,12.32,,0,,0,garter,,,,,,,,,not captured
7/10/2023,2023,191,26,Nat-ag 5 old,Y,,,13:04,13.07,13:12,13.2,8,13.13,,0,,0,garter,,,,,,,,,not captured
7/10/2023,2023,191,26,Half 6,Y,6,OS6,13:35,13.58,14:05,14.08,30,13.83,13:44,13.73,13:50,13.83,redbelly,F,F,N,A,23.5,6,OS,OS6,unique
7/10/2023,2023,191,27,Nat-ag 7 old,,,,14:44,14.73,14:53,14.88,9,14.81,,0,,0,,,,,,,,,,
7/11/2023,2023,192,18,Ag-nat 3,,,,9:00,9,9:11,9.18,11,9.09,,0,,0,,,,,,,,,,
7/11/2023,2023,192,22,Ag 3,,,,9:46,9.77,10:15,10.25,29,10.01,,0,,0,,,,,,,,,,
7/11/2023,2023,192,25,Ag 5,,,,11:30,11.5,11:39,11.65,9,11.58,,0,,0,,,,,,,,,,
7/13/2023,2023,194,18,Half 9,Y,3,OE3,10:45,10.75,11:04,11.07,19,10.91,10:50,10.83,10:52,10.87,garter,J,U,N,A,29.75,1,OE,OE1,unique
7/13/2023,2023,194,18,Half 9,Y,6,OE6,10:45,10.75,11:04,11.07,19,10.91,10:55,10.92,10:58,10.97,redbelly,M,U,N,A,20,3,OE,OE3,unique
7/13/2023,2023,194,19,Ag-nat 9,,,,11:18,11.3,11:32,11.53,14,11.42,,0,,0,,,,,,,,,,
7/18/2023,2023,199,17,Nat-ag 8,,,,7:40,7.67,7:46,7.77,6,7.72,,0,,0,,,,,,,,,,
7/18/2023,2023,199,18,Ag 5,,,,8:02,8.03,8:13,8.22,11,8.13,,0,,0,,,,,,,,,,
7/18/2023,2023,199,20,Ag 3,,,,8:54,8.9,9:18,9.3,24,9.1,,0,,0,,,,,,,,,,
7/18/2023,2023,199,20,Ag-nat 3,,,,9:45,9.75,9:52,9.87,7,9.81,,0,,0,,,,,,,,,,
7/19/2023,2023,200,18,Nat QC 1 old,,,,8:47,8.78,9:11,9.18,24,8.98,,0,,0,,,,,,,,,,
7/19/2023,2023,200,18,Nat QC 3,,,,9:44,9.73,9:59,9.98,15,9.86,,0,,0,,,,,,,,,,
7/19/2023,2023,200,20,Nat QC 6,,,,10:12,10.2,10:26,10.43,14,10.32,,0,,0,,,,,,,,,,
7/19/2023,2023,200,20,Nat QC 7,,,,10:45,10.75,11:05,11.08,20,10.92,,0,,0,,,,,,,,,,
7/19/2023,2023,200,20,Nat QC 4,,,,12:25,12.42,12:36,12.6,11,12.51,,0,,0,,,,,,,,,,
7/19/2023,2023,200,24,Nat QC 9,,,,13:00,13,13:20,13.33,20,13.17,,0,,0,,,,,,,,,,
7/20/2023,2023,201,19,Nat-ag 6,,,,8:50,8.83,9:00,9,10,8.92,,0,,0,,,,,,,,,,
7/20/2023,2023,201,19,Nat-ag 3,Y,11,OS11,9:24,9.4,9:48,9.8,24,9.6,9:31,9.52,9:32,9.53,redbelly,F,F,N,A,24.5,3,OS,OS3,recapture
7/20/2023,2023,201,19,Nat-ag 3,Y,18,OS18,9:24,9.4,9:48,9.8,24,9.6,9:40,9.67,9:44,9.73,redbelly,M,U,N,A,19.5,7,OS,OS7,unique
7/20/2023,2023,201,22,Nat-ag 1,Y,9,9,10:09,10.15,10:26,10.43,17,10.29,10:14,10.23,10:20,10.33,smooth green snake ,M,,,,,,,,not captured
7/20/2023,2023,201,22,Nat-ag 2,Y,10,OS10,10:50,10.83,11:44,11.73,54,11.28,10:56,10.93,11:01,11.02,garter,M,M,Y,A,43.75,4,OS,OS1,unique
7/20/2023,2023,201,22,Nat-ag 2,Y,13,OS13,10:50,10.83,11:44,11.73,54,11.28,11:07,11.12,11:12,11.2,garter,M,M,Y,A,35,5,OS,OS1,unique
7/20/2023,2023,201,22,Nat-ag 2,Y,15,OS15,10:50,10.83,11:44,11.73,54,11.28,11:07,11.12,11:15,11.25,garter,M,M,Y,A,36.75,6,OS,OS1,unique
7/20/2023,2023,201,22,Nat-ag 2,Y,16,OS16,10:50,10.83,11:44,11.73,54,11.28,11:20,11.33,11:27,11.45,garter,F,F,Y,A,59.29,7,OS,OS1,unique
7/20/2023,2023,201,22,Nat-ag 2,Y,16,OS16,10:50,10.83,11:44,11.73,54,11.28,11:28,11.47,11:30,11.5,redbelly,F,F,N,A,22.25,5,OS,OS5,recapture
7/20/2023,2023,201,22,Nat-ag 2,Y,17,OS17,10:50,10.83,11:44,11.73,54,11.28,11:32,11.53,11:41,11.68,garter,M,M,Y,A,42,8,OS,OS1,unique
7/20/2023,2023,201,27,Nat-ag 5 old,,,,12:22,12.37,12:33,12.55,11,12.46,,0,,0,,,,,,,,,,
7/20/2023,2023,201,27,Half 6,,,,13:02,13.03,13:23,13.38,21,13.21,,0,,0,,,,,,,,,,
7/20/2023,2023,201,27,Nat-ag 7 old,,,,14:26,14.43,14:34,14.57,8,14.5,,0,,0,,,,,,,,,,
7/21/2023,2023,202,20,Ag-nat 9,,,,11:30,11.5,11:42,11.7,12,11.6,,0,,0,,,,,,,,,,
7/21/2023,2023,202,20,Half 9,Y,5,OE5,11:54,11.9,12:05,12.08,11,11.99,11:56,11.93,11:59,11.98,redbelly,M,M,N,A,22.5,4,OE,OE4,unique
7/24/2023,2023,205,21,Half 6,,,,9:05,9.08,9:17,9.28,12,9.18,,0,,0,,,,,,,,,,
7/24/2023,2023,205,22,Nat-ag 7 old,,,,10:00,10,10:06,10.1,6,10.05,,0,,0,,,,,,,,,,
7/24/2023,2023,205,25,Nat-ag 5 old,,,,10:21,10.35,10:30,10.5,9,10.43,,0,,0,,,,,,,,,,
7/24/2023,2023,205,25,Nat-ag 2,Y,6,OS6,11:01,11.02,11:27,11.45,26,11.23,11:07,11.12,11:11,11.18,garter,F,F,Y,A,34.5,9,OS,OS1,unique
7/24/2023,2023,205,27,Nat-ag 1,Y,4,OS4,12:02,12.03,12:20,12.33,18,12.18,12:16,12.27,12:20,12.33,redbelly,M,M,N,A,21,8,OS,OS8,unique
7/24/2023,2023,205,27,Nat-ag 1,Y,16,16,12:02,12.03,12:20,12.33,18,12.18,,0,,0,redbelly,,,,,,,,,not captured
7/24/2023,2023,205,27,Nat-ag 3,,,,12:44,12.73,12:56,12.93,12,12.83,,0,,0,,,,,,,,,,
7/24/2023,2023,205,28,Nat-ag 6,Y,11,OS11,13:32,13.53,13:50,13.83,18,13.68,1:36,1.6,1:41,1.68,garter,M,M,Y,A,47.5,10,OS,OS1,unique
7/25/2023,2023,206,17,Nat-ag 8,,,,8:43,8.72,8:53,8.88,10,8.8,,0,,0,,,,,,,,,,
7/25/2023,2023,206,19,Ag 5,,,,9:25,9.42,9:40,9.67,15,9.54,,0,,0,,,,,,,,,,
7/25/2023,2023,206,20,Ag 3,,,,9:56,9.93,10:25,10.42,29,10.18,,0,,0,,,,,,,,,,
7/25/2023,2023,206,20,Ag-nat 3,,,,10:41,10.68,10:54,10.9,13,10.79,,0,,0,,,,,,,,,,
7/26/2023,2023,207,18,Nat QC 7,,,,8:16,8.27,8:46,8.77,30,8.52,,0,,0,,,,,,,,,,
7/26/2023,2023,207,22,Nat QC 6,,,,9:30,9.5,9:45,9.75,15,9.63,,0,,0,,,,,,,,,,
7/26/2023,2023,207,22,Nat QC 4,,,,9:55,9.92,10:10,10.17,15,10.04,,0,,0,,,,,,,,,,
7/26/2023,2023,207,22,Nat QC 3,Y,3,GP3,10:31,10.52,10:52,10.87,21,10.69,10:34,10.57,10:37,10.62,garter,J,U,N,A,27.5,2,GP,GP2,unique
7/26/2023,2023,207,22,Nat QC 1 old,,,,11:25,11.42,11:50,11.83,25,11.63,,0,,0,,,,,,,,,,
7/26/2023,2023,207,26,Nat QC 9,,,,12:55,12.92,13:10,13.17,15,13.04,,0,,0,,,,,,,,,,
7/27/2023,2023,208,23,Ag-nat 9,,,,13:46,13.77,14:05,14.08,19,13.93,,0,,0,,,,,,,,,,
7/27/2023,2023,208,23,Half 9,Y,4,OE4,14:20,14.33,14:50,14.83,30,14.58,14:22,14.37,14:24,14.4,redbelly,F,F,N,A,23.5,1,OE,OE1,unique
7/27/2023,2023,208,23,Half 9,Y,5,OE5,14:20,14.33,14:50,14.83,30,14.58,14:26,14.43,14:34,14.57,garter,M,M,Y,A,47,2,OE,OE2,unique
7/27/2023,2023,208,23,Half 9,Y,6,OE6,14:20,14.33,14:50,14.83,30,14.58,14:35,14.58,14:47,14.78,garter,M,M,Y,A,49,3,OE,OE3,unique
7/31/2023,2023,212,18,Half 5,,,,10:48,10.8,11:19,11.32,31,11.06,,0,,0,,,,,,,,,,
7/31/2023,2023,212,21,Ag 3,,,,11:49,11.82,12:05,12.08,16,11.95,,0,,0,,,,,,,,,,
7/31/2023,2023,212,21,Ag-nat 3,,,,12:20,12.33,12:30,12.5,10,12.42,,0,,0,,,,,,,,,,
7/31/2023,2023,212,21,Ag 5,,,,13:07,13.12,13:30,13.5,23,13.31,,0,,0,,,,,,,,,,
7/31/2023,2023,212,21,Nat-ag 8,,,,13:50,13.83,13:59,13.98,9,13.91,,0,,0,,,,,,,,,,
8/1/2023,2023,213,14,Nat-ag 1,Y,7,OS7,8:49,8.82,9:11,9.18,22,9,9:00,9,9:04,9.07,redbelly,J,U,N,A,18,9,OS,OS9,unique
8/1/2023,2023,213,17,Nat-ag 3,,,,9:33,9.55,9:46,9.77,13,9.66,,0,,0,,,,,,,,,,
8/1/2023,2023,213,17,Nat-ag 6,,,,10:16,10.27,10:31,10.52,15,10.39,,0,,0,,,,,,,,,,
8/1/2023,2023,213,20,Nat-ag 2,Y,10,OS10,11:15,11.25,11:53,11.88,38,11.57,11:23,11.38,11:26,11.43,redbelly,M,U,N,A,19.5,10,OS,OS10,unique
8/1/2023,2023,213,20,Nat-ag 2,Y,15,OS15,11:15,11.25,11:53,11.88,38,11.57,11:31,11.52,11:35,11.58,redbelly,M,U,N,A,18.5,11,OS,OS11,unique
8/1/2023,2023,213,20,Nat-ag 2,N,19,OS19,11:15,11.25,11:53,11.88,38,11.57,11:40,11.67,11:47,11.78,garter,F,F,Y,A,54,11,OS,OS1,unique
8/1/2023,2023,213,21,Nat-ag 5 old,,,,12:36,12.6,12:42,12.7,6,12.65,,0,,0,,,,,,,,,,
8/2/2023,2023,214,20,Nat QC 9,,,,11:00,11,11:13,11.22,13,11.11,,0,,0,,,,,,,,,,
8/2/2023,2023,214,22,Nat QC 1 old,Y,2,2,11:50,11.83,12:13,12.22,23,12.03,11:55,11.92,12:00,12,ring necked snake,M,,,,,,,,not captured
8/2/2023,2023,214,23,Nat QC 3,Y,5,GP5,13:14,13.23,13:28,13.47,14,13.35,13:20,13.33,13:25,13.42,garter,M,M,Y,A,37,3,GP,GP3,unique
8/2/2023,2023,214,24,Nat QC 4,,,,13:44,13.73,13:55,13.92,11,13.83,,0,,0,,,,,,,,,,
8/2/2023,2023,214,24,Nat QC 6,Y,5,GP5,14:12,14.2,14:39,14.65,27,14.43,14:23,14.38,14:30,14.5,garter,F,F,Y,A,30.5,4,GP,GP4,unique
8/2/2023,2023,214,23,Nat QC 7,,,,14:50,14.83,15:15,15.25,25,15.04,,0,,0,,,,,,,,,,
8/4/2023,2023,216,22,Ag-nat 9,,,,12:50,12.83,13:00,13,10,12.92,,0,,0,,,,,,,,,,
8/4/2023,2023,216,23,Half 9,,,,13:16,13.27,13:30,13.5,14,13.38,,0,,0,,,,,,,,,,
8/9/2023,2023,221,18,Nat QC 7,,,,8:57,8.95,9:18,9.3,21,9.13,,0,,0,,,,,,,,,,
8/9/2023,2023,221,18,Nat QC 4,,,,9:31,9.52,9:45,9.75,14,9.63,,0,,0,,,,,,,,,,
8/9/2023,2023,221,20,Nat QC 6,,,,9:53,9.88,10:06,10.1,13,9.99,,0,,0,,,,,,,,,,
8/9/2023,2023,221,20,Nat QC 3,,,,10:10,10.17,10:33,10.55,23,10.36,,0,,0,,,,,,,,,,
8/9/2023,2023,221,20,Nat QC 1 old,Y,1,1,11:05,11.08,11:45,11.75,40,11.42,11:05,11.08,11:12,11.2,ring necked snake,F,,,,,,,,not captured
8/9/2023,2023,221,20,Nat QC 1 old,Y,9,9,11:05,11.08,11:45,11.75,40,11.42,11:32,11.53,11:41,11.68,ring necked snake,F,,,,,,,,not captured
8/9/2023,2023,221,22,Nat QC 9,Y,6,GP6,12:38,12.63,13:00,13,22,12.82,12:43,12.72,12:50,12.83,water snake,M,,Y,,49,1,GP,GP1,unique
8/9/2023,2023,221,26,Ag-nat 9,,,,14:05,14.08,14:20,14.33,15,14.21,,0,,0,,,,,,,,,,
8/9/2023,2023,221,27,Half 9,,,OE,14:37,14.62,14:57,14.95,20,14.78,14:44,14.73,14:45,14.75,redbelly,M,M,N,A,22.5,4,OE,OE4,recapture
8/9/2023,2023,221,27,Half 7,Y,7,7,14:37,14.62,14:57,14.95,20,14.78,,0,,0,garter,J,U,N,A,,,,,not captured
8/9/2023,2023,221,27,Half 7,Y,7,7,15:05,15.08,15:55,15.92,50,15.5,,0,,0,garter,J,U,N,A,,,,,not captured
8/9/2023,2023,221,27,Half 7,Y,9,OE9,15:05,15.08,15:55,15.92,50,15.5,15:10,15.17,15:15,15.25,redbelly,F,F,N,A,26.5,5,OE,OE5,unique
8/9/2023,2023,221,27,Half 7,Y,11,OE11,15:05,15.08,15:55,15.92,50,15.5,15:20,15.33,15:25,15.42,garter,N,U,N,N,17.5,4,OE,OE4,unique
8/11/2023,2023,223,17,Half 5,,,,9:00,9,9:10,9.17,10,9.08,,0,,0,,,,,,,,,,
8/11/2023,2023,223,17,Ag-nat 3,,,,9:40,9.67,9:50,9.83,10,9.75,,0,,0,,,,,,,,,,
8/11/2023,2023,223,18,Ag 3,,,,10:06,10.1,10:24,10.4,18,10.25,,0,,0,,,,,,,,,,
8/11/2023,2023,223,18,Ag 5,,,,10:42,10.7,10:55,10.92,13,10.81,,0,,0,,,,,,,,,,
8/11/2023,2023,223,18,Nat-ag 8,,,,11:10,11.17,11:20,11.33,10,11.25,,0,,0,,,,,,,,,,
8/14/2023,2023,226,16,Nat-ag 7 old,Y,8,OS8,8:58,8.97,9:20,9.33,22,9.15,9:04,9.07,9:10,9.17,garter,F,F,Y,A,48.25,12,OS,OS1,unique
8/14/2023,2023,226,19,Nat-ag 5 old,,,,11:06,11.1,11:16,11.27,10,11.18,,0,,0,,,,,,,,,,
8/14/2023,2023,226,19,Nat-ag 2,Y,9,OS9,11:54,11.9,12:29,12.48,35,12.19,12:00,12,12:08,12.13,garter,F,F,Y,A,47.5,13,OS,OS1,unique
8/14/2023,2023,226,19,Nat-ag 2,Y,17,OS17,11:54,11.9,12:29,12.48,35,12.19,12:18,12.3,12:24,12.4,redbelly,M,U,N,A,19.5,10,OS,OS10,recapture
8/14/2023,2023,226,19,Nat-ag 2,Y,17,OS17,11:54,11.9,12:29,12.48,35,12.19,12:18,12.3,12:25,12.42,garter,F,F,Y,A,55,14,OS,OS1,unique
8/14/2023,2023,226,22,Nat-ag 6,Y,1,1,13:30,13.5,13:50,13.83,20,13.67,,0,,0,garter,J,,,A,,,,,not captured
8/14/2023,2023,226,22,Nat-ag 6,N,6,OS6,13:30,13.5,13:50,13.83,20,13.67,13:43,13.72,13:48,13.8,garter,N,U,N,N,17,15,OS,OS1,unique
8/14/2023,2023,226,22,Nat-ag 3,Y,5,OS5,14:20,14.33,14:53,14.88,33,14.61,14:24,14.4,14:30,14.5,garter,N,U,N,N,19.5,16,OS,OS1,unique
8/14/2023,2023,226,22,Nat-ag 3,Y,7,OS7,14:20,14.33,14:53,14.88,33,14.61,14:31,14.52,14:35,14.58,garter,N,U,N,N,17.75,17,OS,OS1,unique
8/14/2023,2023,226,22,Nat-ag 3,Y,12,OS12,14:20,14.33,14:53,14.88,33,14.61,14:40,14.67,14:43,14.72,garter,N,U,N,N,18,18,OS,OS1,unique
8/14/2023,2023,226,22,Nat-ag 3,Y,14,14,14:20,14.33,14:53,14.88,33,14.61,14:46,14.77,14:50,14.83,smooth green snake ,J,,,,,,,,not captured
8/14/2023,2023,226,22,Nat-ag 3,Y,20,20,14:20,14.33,14:53,14.88,33,14.61,,0,,0,garter,J,,,A,,,,,not captured
8/14/2023,2023,226,23,Nat-ag 1,Y,1,1,15:22,15.37,16:14,16.23,52,15.8,15:25,15.42,15:30,15.5,smooth green snake ,M,,,,,,,,not captured
8/14/2023,2023,226,23,Nat-ag 1,Y,1,1,15:22,15.37,16:14,16.23,52,15.8,15:25,15.42,15:40,15.67,smooth green snake ,M,,,,,,,,not captured
8/14/2023,2023,226,23,Nat-ag 1,N,12,OS12,15:22,15.37,16:14,16.23,52,15.8,15:50,15.83,15:54,15.9,garter,F,F,Y,A,34.5,19,OS,OS1,unique
8/14/2023,2023,226,23,Nat-ag 1,Y,13,OS13,15:22,15.37,16:14,16.23,52,15.8,16:00,16,16:05,16.08,garter,F,F,Y,A,58,20,OS,OS1,unique
8/14/2023,2023,226,23,Nat-ag 1,Y,14,OS14,15:22,15.37,16:14,16.23,52,15.8,16:10,16.17,16:13,16.22,garter,N,U,N,N,16.5,21,OS,OS1,unique
8/14/2023,2023,226,23,Nat-ag 1,N,15,15,15:22,15.37,16:14,16.23,52,15.8,,0,,0,garter,,,,,,,,,not captured
8/15/2023,2023,227,16,Half 5,,,,9:31,9.52,9:43,9.72,12,9.62,,0,,0,,,,,,,,,,
8/15/2023,2023,227,18,Ag-nat 3,,,,10:13,10.22,10:30,10.5,17,10.36,,0,,0,,,,,,,,,,
8/15/2023,2023,227,19,Ag 3,,,,10:54,10.9,11:09,11.15,15,11.03,,0,,0,,,,,,,,,,
8/15/2023,2023,227,21,Ag 5,,,AR,11:26,11.43,11:42,11.7,16,11.57,11:36,11.6,11:41,11.68,garter,M,M,Y,A,41.5,1,AR,AR1,unique
8/15/2023,2023,227,21,Nat-ag 8,,,,12:21,12.35,12:28,12.47,7,12.41,,0,,0,,,,,,,,,,
8/16/2023,2023,228,18,Nat QC 7,Y,11,GP11,10:44,10.73,11:10,11.17,26,10.95,10:50,10.83,10:55,10.92,garter,F,F,Y,A,49,5,GP,GP5,unique
8/16/2023,2023,228,23,Nat QC 4,,,,11:55,11.92,12:07,12.12,12,12.02,,0,,0,,,,,,,,,,
8/16/2023,2023,228,23,Nat QC 3,,,,12:23,12.38,12:30,12.5,7,12.44,,0,,0,,,,,,,,,,
8/16/2023,2023,228,27,Nat QC 9,Y,7,7,14:55,14.92,15:07,15.12,12,15.02,,0,,0,ring necked snake,J,,,,,,,,not captured
8/16/2023,2023,228,27,Nat QC 9,Y,9,9,14:55,14.92,15:07,15.12,12,15.02,,0,,0,garter,J,,,A,,,,,not captured
8/17/2023,2023,229,20,Ag-nat 9,Y,,,9:09,9.15,9:30,9.5,21,9.33,,0,,0,garter,J,,,A,,,,,not captured
8/17/2023,2023,229,21,Half 7,Y,18,OE18,10:08,10.13,10:35,10.58,27,10.36,10:25,10.42,10:30,10.5,garter,N,U,N,N,18.5,5,OE,OE5,unique
8/21/2023,2023,233,17,Nat-ag 7 old,,,,9:30,9.5,9:44,9.73,14,9.62,,0,,0,,,,,,,,,,
8/21/2023,2023,233,18,Half 6,Y,3,OS3,10:30,10.5,11:13,11.22,43,10.86,10:45,10.75,10:55,10.92,water snake,F,,Y,,85,2,OS,OS2,unique
8/21/2023,2023,233,18,Half 6,Y,3,3,10:30,10.5,11:13,11.22,43,10.86,,0,,0,water snake,,,,,,,,,not captured
8/21/2023,2023,233,20,Nat-ag 1,Y,14,OS14,11:50,11.83,13:05,13.08,75,12.46,11:51,11.85,11:52,11.87,redbelly,M,U,N,A,19.25,12,OS,OS12,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,13,OS13,11:50,11.83,13:05,13.08,75,12.46,12:00,12,12:05,12.08,garter,N,U,N,N,16.25,22,OS,OS1,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,11,OS11,11:50,11.83,13:05,13.08,75,12.46,12:09,12.15,12:13,12.22,garter,J,U,N,A,22.25,23,OS,OS1,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,10,OS10,11:50,11.83,13:05,13.08,75,12.46,12:06,12.1,12:30,12.5,redbelly,F,F,N,A,22.5,4,OS,OS4,recapture
8/21/2023,2023,233,20,Nat-ag 1,Y,8,OS8,11:50,11.83,13:05,13.08,75,12.46,,0,,0,water snake,J,,N,,30,3,OS,OS3,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,8,8,11:50,11.83,13:05,13.08,75,12.46,,0,,0,garter,J,,,A,,,,,not captured
8/21/2023,2023,233,20,Nat-ag 1,Y,7,OS7,11:50,11.83,13:05,13.08,75,12.46,12:34,12.57,12:40,12.67,garter,N,U,N,N,16.75,24,OS,OS1,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,5,OS5,11:50,11.83,13:05,13.08,75,12.46,12:44,12.73,12:47,12.78,redbelly,M,U,N,A,19.75,13,OS,OS13,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,2,OS2,11:50,11.83,13:05,13.08,75,12.46,12:50,12.83,12:05,12.08,redbelly,N,U,N,N,9,14,OS,OS14,unique
8/21/2023,2023,233,20,Nat-ag 1,Y,1,OS1,11:50,11.83,13:05,13.08,75,12.46,12:56,12.93,13:00,13,redbelly,M,M,N,A,22.5,15,OS,OS15,unique
8/21/2023,2023,233,21,Nat-ag 3,Y,1,OS1,13:51,13.85,14:28,14.47,37,14.16,13:51,13.85,13:55,13.92,garter,N,U,N,N,19.5,25,OS,OS1,unique
8/21/2023,2023,233,21,Nat-ag 3,Y,16,OS16,13:51,13.85,14:28,14.47,37,14.16,14:13,14.22,14:18,14.3,garter,N,U,N,N,18.75,26,OS,OS1,unique
8/21/2023,2023,233,21,Nat-ag 3,Y,16,16,13:51,13.85,14:28,14.47,37,14.16,,0,,0,garter,J,U,N,A,,,,,not captured
8/21/2023,2023,233,21,Nat-ag 3,Y,18,OS18,13:51,13.85,14:28,14.47,37,14.16,14:20,14.33,14:28,14.47,garter,N,U,N,N,19.75,27,OS,OS1,unique
